file_id,n_ref_notes,n_est_notes,frame_f1_0.3,frame_f1_0.5,frame_f1_0.7,onset_p@0.5,onset_r@0.5,onset_f1@0.5,note_p,note_r,note_f1,best_onset_thr,best_frame_thr
05_Rock2-85-F_solo,125,119,0.4506,0.4786,0.4500,0.0513,0.2114,0.0826,0.9580,0.9120,0.9344,0.65,0.35
05_Rock3-117-Bb_comp,398,370,0.7823,0.7053,0.4606,0.0834,0.1859,0.1151,0.8757,0.8141,0.8437,0.45,0.25
05_Rock3-117-Bb_solo,70,68,0.7567,0.7931,0.7750,0.0411,0.1884,0.0675,0.9706,0.9429,0.9565,0.50,0.45
05_Rock3-148-C_comp,249,244,0.6800,0.8203,0.6164,0.0582,0.3133,0.0982,0.8443,0.8273,0.8357,0.75,0.55
05_Rock3-148-C_solo,61,59,0.7302,0.7773,0.7430,0.0518,0.1803,0.0805,0.9492,0.9180,0.9333,0.65,0.45
05_SS1-100-C#_comp,102,106,0.8188,0.8302,0.6057,0.0666,0.3529,0.1121,0.9057,0.9412,0.9231,0.80,0.60
05_SS1-100-C#_solo,60,67,0.6143,0.6477,0.6318,0.0687,0.2712,0.1097,0.8358,0.9333,0.8819,0.60,0.30
05_SS1-68-E_comp,143,137,0.7953,0.7912,0.5252,0.0560,0.2797,0.0933,0.9416,0.9021,0.9214,0.80,0.70
05_SS1-68-E_solo,78,76,0.5376,0.5605,0.5258,0.0306,0.1688,0.0518,0.8684,0.8462,0.8571,0.75,0.40
05_SS2-107-Ab_comp,222,207,0.7446,0.6817,0.4418,0.0755,0.2477,0.1158,0.8792,0.8198,0.8485,0.80,0.40
05_SS2-107-Ab_solo,87,85,0.6661,0.6791,0.6415,0.0618,0.1609,0.0893,0.9294,0.9080,0.9186,0.80,0.25
05_SS2-88-F_comp,196,170,0.7845,0.7542,0.5242,0.0563,0.2857,0.0941,0.9235,0.8010,0.8579,0.80,0.60
05_SS2-88-F_solo,93,93,0.6364,0.6573,0.6172,0.0544,0.1935,0.0850,0.9785,0.9785,0.9785,0.80,0.30
05_SS3-84-Bb_comp,211,236,0.6699,0.6997,0.5987,0.0480,0.1896,0.0766,0.8602,0.9621,0.9083,0.80,0.50
05_SS3-84-Bb_solo,111,119,0.5711,0.5943,0.5713,0.0467,0.1261,0.0682,0.8908,0.9550,0.9217,0.65,0.35
05_SS3-98-C_comp,199,192,0.7765,0.7681,0.5122,0.0768,0.3367,0.1250,0.8958,0.8643,0.8798,0.80,0.50
05_SS3-98-C_solo,93,91,0.6076,0.6430,0.6052,0.0708,0.1828,0.1021,0.9560,0.9355,0.9457,0.80,0.35
