file_id,n_ref_notes,n_est_notes,frame_f1_0.3,frame_f1_0.5,frame_f1_0.7,onset_p@0.5,onset_r@0.5,onset_f1@0.5,note_p,note_r,note_f1,best_onset_thr,best_frame_thr
05_SS1-100-C#_comp,102,101,0.7758,0.8320,0.8278,0.0000,0.0000,0.0000,0.9307,0.9216,0.9261,0.30,0.70
05_SS1-100-C#_solo,60,59,0.5923,0.5953,0.5902,0.0000,0.0000,0.0000,0.8983,0.8833,0.8908,0.20,0.40
05_SS1-68-E_comp,143,191,0.8162,0.8214,0.7849,0.0000,0.0000,0.0000,0.7277,0.9720,0.8323,0.20,0.60
05_SS1-68-E_solo,78,77,0.4900,0.4888,0.4578,0.0000,0.0000,0.0000,0.8052,0.7949,0.8000,0.30,0.30
05_SS2-107-Ab_comp,222,229,0.7251,0.6916,0.6120,0.0000,0.0000,0.0000,0.7991,0.8243,0.8115,0.20,0.40
05_SS2-107-Ab_solo,87,93,0.6305,0.6314,0.6100,0.0000,0.0000,0.0000,0.8495,0.9080,0.8778,0.20,0.20
05_SS2-88-F_comp,196,178,0.7655,0.7918,0.7581,0.0000,0.0000,0.0000,0.8933,0.8112,0.8503,0.30,0.70
05_SS2-88-F_solo,93,88,0.6052,0.5932,0.5419,0.0000,0.0000,0.0000,0.9886,0.9355,0.9613,0.30,0.30
05_SS3-84-Bb_comp,211,209,0.6389,0.6729,0.6672,0.0000,0.0000,0.0000,0.9234,0.9147,0.9190,0.30,0.60
05_SS3-84-Bb_solo,111,122,0.5431,0.5377,0.4929,0.0000,0.0000,0.0000,0.8852,0.9730,0.9270,0.20,0.30
05_SS3-98-C_comp,199,159,0.7984,0.7955,0.7507,0.0000,0.0000,0.0000,0.9371,0.7487,0.8324,0.30,0.60
05_SS3-98-C_solo,93,89,0.6086,0.6135,0.5635,0.0000,0.0000,0.0000,0.9551,0.9140,0.9341,0.30,0.30
